State,Market,Date,Month,Year,Price
Gujarat,Ankleshwar,01-01-2021,1,2021,3500
Gujarat,Ankleshwar,03-01-2021,1,2021,3400
Gujarat,Ankleshwar,04-01-2021,1,2021,3500
Gujarat,Ankleshwar,06-01-2021,1,2021,3250
Gujarat,Ankleshwar,07-01-2021,1,2021,3250
Gujarat,Ankleshwar,08-01-2021,1,2021,3250
Gujarat,Ankleshwar,09-01-2021,1,2021,3250
Gujarat,Ankleshwar,10-01-2021,1,2021,3000
Gujarat,Ankleshwar,11-01-2021,1,2021,3100
Gujarat,Ankleshwar,12-01-2021,1,2021,2900
Gujarat,Ankleshwar,15-01-2021,1,2021,5375
Gujarat,Ankleshwar,16-01-2021,1,2021,5000
Gujarat,Ankleshwar,17-01-2021,1,2021,4825
Gujarat,Ankleshwar,19-01-2021,1,2021,4000
Gujarat,Ankleshwar,20-01-2021,1,2021,3775
Gujarat,Ankleshwar,21-01-2021,1,2021,3250
Gujarat,Ankleshwar,22-01-2021,1,2021,3500
Gujarat,Ankleshwar,23-01-2021,1,2021,3300
Gujarat,Ankleshwar,24-01-2021,1,2021,3750
Gujarat,Ankleshwar,25-01-2021,1,2021,3750
Gujarat,Ankleshwar,27-01-2021,1,2021,3250
Gujarat,Ankleshwar,28-01-2021,1,2021,3775
Gujarat,Ankleshwar,29-01-2021,1,2021,4250
Gujarat,Ankleshwar,30-01-2021,1,2021,3500
Gujarat,Ankleshwar,31-01-2021,1,2021,3750
Gujarat,Ankleshwar,01-02-2021,2,2021,3750
Gujarat,Ankleshwar,02-02-2021,2,2021,4000
Gujarat,Ankleshwar,03-02-2021,2,2021,4000
Gujarat,Ankleshwar,04-02-2021,2,2021,3375
Gujarat,Ankleshwar,05-02-2021,2,2021,3500
Gujarat,Ankleshwar,06-02-2021,2,2021,3500
Gujarat,Ankleshwar,07-02-2021,2,2021,3750
Gujarat,Ankleshwar,08-02-2021,2,2021,3500
Gujarat,Ankleshwar,09-02-2021,2,2021,3500
Gujarat,Ankleshwar,10-02-2021,2,2021,4000
Gujarat,Ankleshwar,12-02-2021,2,2021,3500
Gujarat,Ankleshwar,13-02-2021,2,2021,4000
Gujarat,Ankleshwar,15-02-2021,2,2021,3250
Gujarat,Ankleshwar,16-02-2021,2,2021,2900
Gujarat,Ankleshwar,17-02-2021,2,2021,2750
Gujarat,Ankleshwar,19-02-2021,2,2021,2900
Gujarat,Ankleshwar,20-02-2021,2,2021,2500
Gujarat,Ankleshwar,21-02-2021,2,2021,2400
Gujarat,Ankleshwar,22-02-2021,2,2021,2600
Gujarat,Ankleshwar,23-02-2021,2,2021,3500
Gujarat,Ankleshwar,24-02-2021,2,2021,3350
Gujarat,Ankleshwar,25-02-2021,2,2021,3250
Gujarat,Ankleshwar,26-02-2021,2,2021,2750
Gujarat,Ankleshwar,27-02-2021,2,2021,2750
Gujarat,Ankleshwar,28-02-2021,2,2021,3500
Gujarat,Ankleshwar,01-03-2021,3,2021,3900
Gujarat,Ankleshwar,02-03-2021,3,2021,3250
Gujarat,Ankleshwar,03-03-2021,3,2021,3275
Gujarat,Ankleshwar,04-03-2021,3,2021,3350
Gujarat,Ankleshwar,05-03-2021,3,2021,3125
Gujarat,Ankleshwar,06-03-2021,3,2021,3125
Gujarat,Ankleshwar,08-03-2021,3,2021,3500
Gujarat,Ankleshwar,09-03-2021,3,2021,3425
Gujarat,Ankleshwar,10-03-2021,3,2021,3275
Gujarat,Ankleshwar,11-03-2021,3,2021,3350
Gujarat,Ankleshwar,12-03-2021,3,2021,3450
Gujarat,Ankleshwar,15-03-2021,3,2021,3250
Gujarat,Ankleshwar,16-03-2021,3,2021,3000
Gujarat,Ankleshwar,17-03-2021,3,2021,3250
Gujarat,Ankleshwar,18-03-2021,3,2021,3500
Gujarat,Ankleshwar,19-03-2021,3,2021,3250
Gujarat,Ankleshwar,20-03-2021,3,2021,3725
Gujarat,Ankleshwar,22-03-2021,3,2021,3500
Gujarat,Ankleshwar,23-03-2021,3,2021,4000
Gujarat,Ankleshwar,24-03-2021,3,2021,3675
Gujarat,Ankleshwar,25-03-2021,3,2021,4000
Gujarat,Ankleshwar,26-03-2021,3,2021,4000
Gujarat,Ankleshwar,27-03-2021,3,2021,4000
Gujarat,Ankleshwar,30-03-2021,3,2021,5000
Gujarat,Ankleshwar,31-03-2021,3,2021,4875
Gujarat,Ankleshwar,01-04-2021,4,2021,4000
Gujarat,Ankleshwar,02-04-2021,4,2021,4650
Gujarat,Ankleshwar,03-04-2021,4,2021,4000
Gujarat,Ankleshwar,05-04-2021,4,2021,4350
Gujarat,Ankleshwar,06-04-2021,4,2021,4000
Gujarat,Ankleshwar,07-04-2021,4,2021,4000
Gujarat,Ankleshwar,08-04-2021,4,2021,3700
Gujarat,Ankleshwar,09-04-2021,4,2021,4000
Gujarat,Ankleshwar,10-04-2021,4,2021,3750
Gujarat,Ankleshwar,12-04-2021,4,2021,6000
Gujarat,Ankleshwar,13-04-2021,4,2021,5800
Gujarat,Ankleshwar,14-04-2021,4,2021,6000
Gujarat,Ankleshwar,15-04-2021,4,2021,6850
Gujarat,Ankleshwar,16-04-2021,4,2021,6000
Gujarat,Ankleshwar,17-04-2021,4,2021,5500
Gujarat,Ankleshwar,18-04-2021,4,2021,5000
Gujarat,Ankleshwar,19-04-2021,4,2021,5000
Gujarat,Ankleshwar,20-04-2021,4,2021,6500
Gujarat,Ankleshwar,21-04-2021,4,2021,6150
Gujarat,Ankleshwar,22-04-2021,4,2021,6650
Gujarat,Ankleshwar,23-04-2021,4,2021,5750
Gujarat,Ankleshwar,24-04-2021,4,2021,5500
Gujarat,Ankleshwar,25-04-2021,4,2021,7000
Gujarat,Ankleshwar,26-04-2021,4,2021,7950
Gujarat,Ankleshwar,27-04-2021,4,2021,7000
Gujarat,Ankleshwar,28-04-2021,4,2021,7000
Gujarat,Ankleshwar,29-04-2021,4,2021,7500
Gujarat,Ankleshwar,30-04-2021,4,2021,7500
Gujarat,Ankleshwar,02-05-2021,5,2021,7000
Gujarat,Ankleshwar,03-05-2021,5,2021,6950
Gujarat,Ankleshwar,04-05-2021,5,2021,6950
Gujarat,Ankleshwar,05-05-2021,5,2021,6000
Gujarat,Ankleshwar,06-05-2021,5,2021,6450
Gujarat,Ankleshwar,07-05-2021,5,2021,6950
Gujarat,Ankleshwar,08-05-2021,5,2021,7000
Gujarat,Ankleshwar,10-05-2021,5,2021,7500
Gujarat,Ankleshwar,11-05-2021,5,2021,7500
Gujarat,Ankleshwar,12-05-2021,5,2021,7125
Gujarat,Ankleshwar,13-05-2021,5,2021,7500
Gujarat,Ankleshwar,14-05-2021,5,2021,6950
Gujarat,Ankleshwar,15-05-2021,5,2021,7500
Gujarat,Ankleshwar,16-05-2021,5,2021,8000
