State,Market,Date,Month,Year,Price
Gujarat,Rajula,01-01-2021,1,2021,4268
Gujarat,Rajula,02-01-2021,1,2021,3505
Gujarat,Rajula,04-01-2021,1,2021,4748
Gujarat,Rajula,05-01-2021,1,2021,3850
Gujarat,Rajula,07-01-2021,1,2021,3625
Gujarat,Rajula,08-01-2021,1,2021,3653
Gujarat,Rajula,09-01-2021,1,2021,3800
Gujarat,Rajula,11-01-2021,1,2021,3878
Gujarat,Rajula,12-01-2021,1,2021,4095
Gujarat,Rajula,13-01-2021,1,2021,3575
Gujarat,Rajula,16-01-2021,1,2021,4250
Gujarat,Rajula,18-01-2021,1,2021,3835
Gujarat,Rajula,20-01-2021,1,2021,4000
Gujarat,Rajula,21-01-2021,1,2021,4150
Gujarat,Rajula,22-01-2021,1,2021,3340
Gujarat,Rajula,23-01-2021,1,2021,3138
Gujarat,Rajula,27-01-2021,1,2021,3613
Gujarat,Rajula,28-01-2021,1,2021,4193
Gujarat,Rajula,29-01-2021,1,2021,4028
Gujarat,Rajula,30-01-2021,1,2021,3638
Gujarat,Rajula,01-02-2021,2,2021,4250
Gujarat,Rajula,02-02-2021,2,2021,4213
Gujarat,Rajula,04-02-2021,2,2021,4013
Gujarat,Rajula,05-02-2021,2,2021,3438
Gujarat,Rajula,08-02-2021,2,2021,4005
Gujarat,Rajula,09-02-2021,2,2021,4175
Gujarat,Rajula,10-02-2021,2,2021,4133
Gujarat,Rajula,11-02-2021,2,2021,4133
Gujarat,Rajula,12-02-2021,2,2021,3628
Gujarat,Rajula,13-02-2021,2,2021,4078
Gujarat,Rajula,15-02-2021,2,2021,3453
Gujarat,Rajula,16-02-2021,2,2021,3823
Gujarat,Rajula,17-02-2021,2,2021,3628
Gujarat,Rajula,18-02-2021,2,2021,4210
Gujarat,Rajula,19-02-2021,2,2021,3913
Gujarat,Rajula,20-02-2021,2,2021,3955
Gujarat,Rajula,22-02-2021,2,2021,3850
Gujarat,Rajula,23-02-2021,2,2021,3813
Gujarat,Rajula,25-02-2021,2,2021,4003
Gujarat,Rajula,26-02-2021,2,2021,3983
Gujarat,Rajula,27-02-2021,2,2021,4025
Gujarat,Rajula,01-03-2021,3,2021,3915
Gujarat,Rajula,04-03-2021,3,2021,4048
Gujarat,Rajula,05-03-2021,3,2021,4275
Gujarat,Rajula,09-03-2021,3,2021,4053
Gujarat,Rajula,10-03-2021,3,2021,4068
Gujarat,Rajula,12-03-2021,3,2021,4235
Gujarat,Rajula,13-03-2021,3,2021,4000
Gujarat,Rajula,15-03-2021,3,2021,4028
Gujarat,Rajula,16-03-2021,3,2021,3775
Gujarat,Rajula,17-03-2021,3,2021,3995
Gujarat,Rajula,18-03-2021,3,2021,4098
Gujarat,Rajula,19-03-2021,3,2021,3715
Gujarat,Rajula,20-03-2021,3,2021,3475
Gujarat,Rajula,22-03-2021,3,2021,3863
Gujarat,Rajula,02-04-2021,4,2021,3750
