State,Market,Date,Month,Year,Price
Chattisgarh,Tiphra,02-01-2021,1,2021,11600
Chattisgarh,Tiphra,04-01-2021,1,2021,11700
Chattisgarh,Tiphra,05-01-2021,1,2021,12000
Chattisgarh,Tiphra,06-01-2021,1,2021,12000
Chattisgarh,Tiphra,07-01-2021,1,2021,11800
Chattisgarh,Tiphra,08-01-2021,1,2021,12000
Chattisgarh,Tiphra,09-01-2021,1,2021,12000
Chattisgarh,Tiphra,11-01-2021,1,2021,12000
Chattisgarh,Tiphra,12-01-2021,1,2021,11500
Chattisgarh,Tiphra,13-01-2021,1,2021,11600
Chattisgarh,Tiphra,14-01-2021,1,2021,11700
Chattisgarh,Tiphra,15-01-2021,1,2021,11600
Chattisgarh,Tiphra,16-01-2021,1,2021,11800
Chattisgarh,Tiphra,18-01-2021,1,2021,11700
Chattisgarh,Tiphra,19-01-2021,1,2021,11900
Chattisgarh,Tiphra,20-01-2021,1,2021,11800
Chattisgarh,Tiphra,21-01-2021,1,2021,11800
Chattisgarh,Tiphra,22-01-2021,1,2021,11500
Chattisgarh,Tiphra,23-01-2021,1,2021,11600
Chattisgarh,Tiphra,25-01-2021,1,2021,11500
Chattisgarh,Tiphra,26-01-2021,1,2021,11000
Chattisgarh,Tiphra,27-01-2021,1,2021,11200
Chattisgarh,Tiphra,29-01-2021,1,2021,11000
Chattisgarh,Tiphra,30-01-2021,1,2021,11500
Chattisgarh,Tiphra,02-02-2021,2,2021,11800
Chattisgarh,Tiphra,03-02-2021,2,2021,12000
Chattisgarh,Tiphra,04-02-2021,2,2021,12000
Chattisgarh,Tiphra,05-02-2021,2,2021,12000
Chattisgarh,Tiphra,06-02-2021,2,2021,11500
Chattisgarh,Tiphra,08-02-2021,2,2021,11800
Chattisgarh,Tiphra,09-02-2021,2,2021,11500
Chattisgarh,Tiphra,10-02-2021,2,2021,11500
Chattisgarh,Tiphra,11-02-2021,2,2021,11000
Chattisgarh,Tiphra,12-02-2021,2,2021,11200
Chattisgarh,Tiphra,13-02-2021,2,2021,11000
Chattisgarh,Tiphra,15-02-2021,2,2021,11200
Chattisgarh,Tiphra,16-02-2021,2,2021,11500
Chattisgarh,Tiphra,18-02-2021,2,2021,11000
Chattisgarh,Tiphra,19-02-2021,2,2021,10800
Chattisgarh,Tiphra,20-02-2021,2,2021,10900
Chattisgarh,Tiphra,22-02-2021,2,2021,10800
Chattisgarh,Tiphra,23-02-2021,2,2021,10700
Chattisgarh,Tiphra,24-02-2021,2,2021,10500
Chattisgarh,Tiphra,25-02-2021,2,2021,10600
Chattisgarh,Tiphra,26-02-2021,2,2021,10000
Chattisgarh,Tiphra,27-02-2021,2,2021,9500
Chattisgarh,Tiphra,02-03-2021,3,2021,8500
Chattisgarh,Tiphra,03-03-2021,3,2021,8800
Chattisgarh,Tiphra,04-03-2021,3,2021,7500
Chattisgarh,Tiphra,05-03-2021,3,2021,7400
Chattisgarh,Tiphra,06-03-2021,3,2021,7500
Chattisgarh,Tiphra,08-03-2021,3,2021,6000
Chattisgarh,Tiphra,09-03-2021,3,2021,5500
Chattisgarh,Tiphra,10-03-2021,3,2021,5700
Chattisgarh,Tiphra,12-03-2021,3,2021,5500
Chattisgarh,Tiphra,13-03-2021,3,2021,5000
Chattisgarh,Tiphra,15-03-2021,3,2021,4500
Chattisgarh,Tiphra,16-03-2021,3,2021,5000
Chattisgarh,Tiphra,17-03-2021,3,2021,4800
Chattisgarh,Tiphra,18-03-2021,3,2021,5000
Chattisgarh,Tiphra,19-03-2021,3,2021,4800
Chattisgarh,Tiphra,20-03-2021,3,2021,4700
Chattisgarh,Tiphra,22-03-2021,3,2021,4500
Chattisgarh,Tiphra,23-03-2021,3,2021,4400
Chattisgarh,Tiphra,24-03-2021,3,2021,4500
Chattisgarh,Tiphra,25-03-2021,3,2021,4400
Chattisgarh,Tiphra,26-03-2021,3,2021,4200
Chattisgarh,Tiphra,27-03-2021,3,2021,4000
Chattisgarh,Tiphra,02-04-2021,4,2021,4000
Chattisgarh,Tiphra,03-04-2021,4,2021,5200
Chattisgarh,Tiphra,05-04-2021,4,2021,5000
Chattisgarh,Tiphra,06-04-2021,4,2021,5200
Chattisgarh,Tiphra,07-04-2021,4,2021,5500
Chattisgarh,Tiphra,08-04-2021,4,2021,5800
Chattisgarh,Tiphra,09-04-2021,4,2021,6000
Chattisgarh,Tiphra,10-04-2021,4,2021,6200
Chattisgarh,Tiphra,12-04-2021,4,2021,6000
Chattisgarh,Tiphra,13-04-2021,4,2021,6800
Chattisgarh,Tiphra,02-06-2021,6,2021,5000
Chattisgarh,Tiphra,03-06-2021,6,2021,4900
Chattisgarh,Tiphra,04-06-2021,6,2021,4700
Chattisgarh,Tiphra,05-06-2021,6,2021,5000
Chattisgarh,Tiphra,07-06-2021,6,2021,4500
Chattisgarh,Tiphra,08-06-2021,6,2021,6500
Chattisgarh,Durg,16-01-2021,1,2021,9000
Chattisgarh,Durg,17-01-2021,1,2021,7500
Chattisgarh,Durg,19-01-2021,1,2021,7250
Chattisgarh,Durg,20-01-2021,1,2021,7500
Chattisgarh,Durg,21-01-2021,1,2021,8000
Chattisgarh,Durg,22-01-2021,1,2021,7000
Chattisgarh,Durg,23-01-2021,1,2021,8250
Chattisgarh,Durg,24-01-2021,1,2021,9000
Chattisgarh,Durg,27-01-2021,1,2021,7500
Chattisgarh,Durg,28-01-2021,1,2021,7000
Chattisgarh,Durg,29-01-2021,1,2021,8000
Chattisgarh,Durg,30-01-2021,1,2021,8000
Chattisgarh,Durg,31-01-2021,1,2021,7000
Chattisgarh,Durg,02-02-2021,2,2021,8000
Chattisgarh,Durg,03-02-2021,2,2021,8500
Chattisgarh,Durg,04-02-2021,2,2021,8500
Chattisgarh,Durg,05-02-2021,2,2021,8500
Chattisgarh,Durg,06-02-2021,2,2021,8000
Chattisgarh,Durg,07-02-2021,2,2021,7000
Chattisgarh,Durg,09-02-2021,2,2021,7500
Chattisgarh,Durg,10-02-2021,2,2021,7000
Chattisgarh,Durg,11-02-2021,2,2021,7500
Chattisgarh,Durg,12-02-2021,2,2021,7000
Chattisgarh,Durg,13-02-2021,2,2021,8000
Chattisgarh,Durg,14-02-2021,2,2021,5500
Chattisgarh,Durg,16-02-2021,2,2021,5000
Chattisgarh,Durg,17-02-2021,2,2021,5500
Chattisgarh,Durg,18-02-2021,2,2021,5000
Chattisgarh,Durg,19-02-2021,2,2021,6000
Chattisgarh,Durg,20-02-2021,2,2021,6500
Chattisgarh,Durg,21-02-2021,2,2021,6000
Chattisgarh,Durg,23-02-2021,2,2021,6500
Chattisgarh,Durg,24-02-2021,2,2021,5500
Chattisgarh,Durg,25-02-2021,2,2021,5000
Chattisgarh,Durg,26-02-2021,2,2021,5500
Chattisgarh,Durg,27-02-2021,2,2021,5000
Chattisgarh,Durg,28-02-2021,2,2021,6000
Chattisgarh,Durg,02-03-2021,3,2021,6250
Chattisgarh,Durg,03-03-2021,3,2021,5000
Chattisgarh,Durg,04-03-2021,3,2021,5500
Chattisgarh,Durg,05-03-2021,3,2021,6500
Chattisgarh,Durg,07-03-2021,3,2021,6500
Chattisgarh,Durg,09-03-2021,3,2021,6000
Chattisgarh,Durg,10-03-2021,3,2021,7000
Chattisgarh,Durg,11-03-2021,3,2021,7500
Chattisgarh,Durg,12-03-2021,3,2021,7000
Chattisgarh,Durg,13-03-2021,3,2021,7250
Chattisgarh,Durg,14-03-2021,3,2021,6500
Chattisgarh,Durg,16-03-2021,3,2021,6000
Chattisgarh,Durg,17-03-2021,3,2021,5000
Chattisgarh,Durg,18-03-2021,3,2021,5500
Chattisgarh,Durg,19-03-2021,3,2021,5000
Chattisgarh,Durg,21-03-2021,3,2021,5000
Chattisgarh,Durg,23-03-2021,3,2021,5500
Chattisgarh,Durg,24-03-2021,3,2021,5000
Chattisgarh,Durg,25-03-2021,3,2021,5500
Chattisgarh,Durg,26-03-2021,3,2021,5500
Chattisgarh,Durg,27-03-2021,3,2021,5000
Chattisgarh,Durg,28-03-2021,3,2021,6000
Chattisgarh,Durg,01-04-2021,4,2021,6500
Chattisgarh,Durg,02-04-2021,4,2021,5500
Chattisgarh,Durg,03-04-2021,4,2021,7500
Chattisgarh,Durg,04-04-2021,4,2021,7000
Chattisgarh,Durg,05-04-2021,4,2021,6000
Chattisgarh,Durg,06-05-2021,5,2021,4500
Chattisgarh,Durg,07-05-2021,5,2021,4000
Chattisgarh,Durg,08-05-2021,5,2021,5500
Chattisgarh,Durg,10-05-2021,5,2021,5000
Chattisgarh,Durg,11-05-2021,5,2021,5500
