State,Market,Date,Month,Year,Price
Andhra Pradesh,Chittoor,22-05-2021,5,2021,2000
Andhra Pradesh,Chittoor,23-05-2021,5,2021,2000
Andhra Pradesh,Chittoor,24-05-2021,5,2021,2000
Andhra Pradesh,Chittoor,25-05-2021,5,2021,2000
Andhra Pradesh,Chittoor,26-05-2021,5,2021,1900
Andhra Pradesh,Chittoor,27-05-2021,5,2021,1600
Andhra Pradesh,Chittoor,28-05-2021,5,2021,1700
Andhra Pradesh,Chittoor,29-05-2021,5,2021,1700
Andhra Pradesh,Chittoor,30-05-2021,5,2021,1700
Andhra Pradesh,Chittoor,31-05-2021,5,2021,1700
Andhra Pradesh,Chittoor,02-06-2021,6,2021,1650
Andhra Pradesh,Chittoor,03-06-2021,6,2021,1700
Andhra Pradesh,Chittoor,04-06-2021,6,2021,1700
Andhra Pradesh,Chittoor,05-06-2021,6,2021,1500
Andhra Pradesh,Chittoor,06-06-2021,6,2021,1700
Andhra Pradesh,Chittoor,07-06-2021,6,2021,1700
Andhra Pradesh,Chittoor,08-06-2021,6,2021,1500
Andhra Pradesh,Chittoor,09-06-2021,6,2021,1600
Andhra Pradesh,Chittoor,10-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,11-06-2021,6,2021,1600
Andhra Pradesh,Chittoor,12-06-2021,6,2021,1600
Andhra Pradesh,Chittoor,13-06-2021,6,2021,1600
Andhra Pradesh,Chittoor,14-06-2021,6,2021,1600
Andhra Pradesh,Chittoor,15-06-2021,6,2021,1500
Andhra Pradesh,Chittoor,16-06-2021,6,2021,1500
Andhra Pradesh,Chittoor,17-06-2021,6,2021,1500
Andhra Pradesh,Chittoor,18-06-2021,6,2021,1450
Andhra Pradesh,Chittoor,19-06-2021,6,2021,1450
Andhra Pradesh,Chittoor,20-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,21-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,22-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,23-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,25-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,26-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,27-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,28-06-2021,6,2021,1400
Andhra Pradesh,Chittoor,29-06-2021,6,2021,1700
Andhra Pradesh,Chittoor,30-06-2021,6,2021,1700
Andhra Pradesh,Chittoor,01-07-2021,7,2021,1700
Andhra Pradesh,Chittoor,20-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,21-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,22-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,23-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,25-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,26-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,27-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,28-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,29-06-2021,6,2021,1200
Andhra Pradesh,Chittoor,30-06-2021,6,2021,1200
Andhra Pradesh,Chittoor,01-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,02-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,04-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,07-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,08-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,09-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,10-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,11-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,12-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,13-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,14-07-2021,7,2021,1200
Andhra Pradesh,Chittoor,15-07-2021,7,2021,1250
Andhra Pradesh,Chittoor,16-07-2021,7,2021,1250
Andhra Pradesh,Chittoor,17-07-2021,7,2021,1300
Andhra Pradesh,Chittoor,18-07-2021,7,2021,1300
Andhra Pradesh,Chittoor,19-07-2021,7,2021,1300
Andhra Pradesh,Chittoor,24-05-2021,5,2021,900
Andhra Pradesh,Chittoor,26-05-2021,5,2021,900
Andhra Pradesh,Chittoor,27-05-2021,5,2021,500
Andhra Pradesh,Chittoor,28-05-2021,5,2021,800
Andhra Pradesh,Chittoor,29-05-2021,5,2021,500
Andhra Pradesh,Chittoor,30-05-2021,5,2021,500
Andhra Pradesh,Chittoor,02-06-2021,6,2021,500
Andhra Pradesh,Chittoor,03-06-2021,6,2021,500
Andhra Pradesh,Chittoor,04-06-2021,6,2021,500
Andhra Pradesh,Chittoor,05-06-2021,6,2021,500
Andhra Pradesh,Chittoor,08-06-2021,6,2021,500
Andhra Pradesh,Chittoor,16-06-2021,6,2021,500
Andhra Pradesh,Chittoor,17-06-2021,6,2021,500
Andhra Pradesh,Chittoor,18-06-2021,6,2021,500
Andhra Pradesh,Chittoor,19-06-2021,6,2021,500
Andhra Pradesh,Chittoor,20-06-2021,6,2021,500
Andhra Pradesh,Chittoor,21-06-2021,6,2021,500
Andhra Pradesh,Chittoor,22-06-2021,6,2021,500
Andhra Pradesh,Chittoor,23-06-2021,6,2021,500
Andhra Pradesh,Chittoor,25-06-2021,6,2021,500
Andhra Pradesh,Chittoor,22-05-2021,5,2021,900
Andhra Pradesh,Chittoor,23-05-2021,5,2021,900
Andhra Pradesh,Chittoor,25-05-2021,5,2021,900
Andhra Pradesh,Chittoor,27-05-2021,5,2021,900
Andhra Pradesh,Chittoor,28-05-2021,5,2021,1000
Andhra Pradesh,Chittoor,29-05-2021,5,2021,900
Andhra Pradesh,Chittoor,30-05-2021,5,2021,900
Andhra Pradesh,Chittoor,31-05-2021,5,2021,900
Andhra Pradesh,Chittoor,02-06-2021,6,2021,900
Andhra Pradesh,Chittoor,03-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,04-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,05-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,06-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,07-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,08-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,09-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,10-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,11-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,12-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,13-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,14-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,15-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,16-06-2021,6,2021,1000
Andhra Pradesh,Chittoor,17-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,18-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,19-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,20-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,21-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,22-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,25-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,26-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,27-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,28-06-2021,6,2021,1100
Andhra Pradesh,Chittoor,03-07-2021,7,2021,1200
