State,Market,Date,Month,Year,Price
Chattisgarh,Tiphra,02-01-2021,1,2021,2300
Chattisgarh,Tiphra,04-01-2021,1,2021,2200
Chattisgarh,Tiphra,05-01-2021,1,2021,2300
Chattisgarh,Tiphra,06-01-2021,1,2021,2400
Chattisgarh,Tiphra,07-01-2021,1,2021,2400
Chattisgarh,Tiphra,08-01-2021,1,2021,2500
Chattisgarh,Tiphra,09-01-2021,1,2021,2500
Chattisgarh,Tiphra,11-01-2021,1,2021,2400
Chattisgarh,Tiphra,12-01-2021,1,2021,2400
Chattisgarh,Tiphra,13-01-2021,1,2021,2500
Chattisgarh,Tiphra,14-01-2021,1,2021,2400
Chattisgarh,Tiphra,15-01-2021,1,2021,2300
Chattisgarh,Tiphra,16-01-2021,1,2021,2500
Chattisgarh,Tiphra,18-01-2021,1,2021,2300
Chattisgarh,Tiphra,19-01-2021,1,2021,2400
Chattisgarh,Tiphra,20-01-2021,1,2021,2300
Chattisgarh,Tiphra,21-01-2021,1,2021,2400
Chattisgarh,Tiphra,22-01-2021,1,2021,2300
Chattisgarh,Tiphra,23-01-2021,1,2021,2350
Chattisgarh,Tiphra,25-01-2021,1,2021,2300
Chattisgarh,Tiphra,26-01-2021,1,2021,2400
Chattisgarh,Tiphra,27-01-2021,1,2021,2450
Chattisgarh,Tiphra,29-01-2021,1,2021,2350
Chattisgarh,Tiphra,30-01-2021,1,2021,2400
Chattisgarh,Tiphra,02-02-2021,2,2021,2500
Chattisgarh,Tiphra,03-02-2021,2,2021,2450
Chattisgarh,Tiphra,04-02-2021,2,2021,2600
Chattisgarh,Tiphra,05-02-2021,2,2021,2800
Chattisgarh,Tiphra,06-02-2021,2,2021,2700
Chattisgarh,Tiphra,08-02-2021,2,2021,2650
Chattisgarh,Tiphra,09-02-2021,2,2021,2600
Chattisgarh,Tiphra,10-02-2021,2,2021,2500
Chattisgarh,Tiphra,11-02-2021,2,2021,2600
Chattisgarh,Tiphra,12-02-2021,2,2021,2500
Chattisgarh,Tiphra,13-02-2021,2,2021,2400
Chattisgarh,Tiphra,15-02-2021,2,2021,2800
Chattisgarh,Tiphra,16-02-2021,2,2021,2900
Chattisgarh,Tiphra,17-02-2021,2,2021,3000
Chattisgarh,Tiphra,18-02-2021,2,2021,2800
Chattisgarh,Tiphra,19-02-2021,2,2021,2700
Chattisgarh,Tiphra,20-02-2021,2,2021,2800
Chattisgarh,Tiphra,22-02-2021,2,2021,2900
Chattisgarh,Tiphra,23-02-2021,2,2021,2850
Chattisgarh,Tiphra,24-02-2021,2,2021,2900
Chattisgarh,Tiphra,25-02-2021,2,2021,3000
Chattisgarh,Tiphra,26-02-2021,2,2021,3000
Chattisgarh,Tiphra,27-02-2021,2,2021,2900
Chattisgarh,Tiphra,02-03-2021,3,2021,2900
Chattisgarh,Tiphra,03-03-2021,3,2021,3000
Chattisgarh,Tiphra,04-03-2021,3,2021,2900
Chattisgarh,Tiphra,05-03-2021,3,2021,2900
Chattisgarh,Tiphra,06-03-2021,3,2021,3000
Chattisgarh,Tiphra,08-03-2021,3,2021,3000
Chattisgarh,Tiphra,09-03-2021,3,2021,2900
Chattisgarh,Tiphra,10-03-2021,3,2021,3000
Chattisgarh,Tiphra,11-03-2021,3,2021,3100
Chattisgarh,Tiphra,12-03-2021,3,2021,3000
Chattisgarh,Tiphra,13-03-2021,3,2021,3050
Chattisgarh,Tiphra,15-03-2021,3,2021,3000
