State,Market,Date,Month,Year,Price
Andaman and Nicobar,Diglipur,16-03-2019,3,2019,4700
Andaman and Nicobar,Diglipur,18-03-2019,3,2019,4700
Andaman and Nicobar,Diglipur,17-04-2019,4,2019,4700
Andaman and Nicobar,Diglipur,26-04-2019,4,2019,5500
Andaman and Nicobar,Diglipur,09-05-2019,5,2019,4500
Andaman and Nicobar,Diglipur,13-05-2019,5,2019,4500
Andaman and Nicobar,Diglipur,20-06-2019,6,2019,4000
Assam,Kharupetia,13-02-2019,2,2019,5600
Assam,Kharupetia,20-02-2019,2,2019,5600
Assam,Kharupetia,27-02-2019,2,2019,5600
Assam,Kharupetia,06-03-2019,3,2019,5600
Assam,Gauripur,04-02-2019,2,2019,2600
Assam,Gauripur,05-02-2019,2,2019,4300
Assam,Gauripur,06-02-2019,2,2019,4200
Assam,Gauripur,07-02-2019,2,2019,4300
Assam,Gauripur,08-02-2019,2,2019,4300
Assam,Gauripur,11-02-2019,2,2019,4200
Assam,Gauripur,12-02-2019,2,2019,4200
Assam,Gauripur,13-02-2019,2,2019,4200
Assam,Gauripur,14-02-2019,2,2019,4200
Assam,Gauripur,16-02-2019,2,2019,4300
Assam,Gauripur,18-02-2019,2,2019,4300
Assam,Gauripur,20-02-2019,2,2019,4300
Assam,Gauripur,21-02-2019,2,2019,4300
Assam,Gauripur,22-02-2019,2,2019,4300
Assam,Gauripur,27-02-2019,2,2019,4300
Assam,Gauripur,28-02-2019,2,2019,4300
Assam,Gauripur,01-03-2019,3,2019,4350
Assam,Gauripur,02-03-2019,3,2019,4380
Assam,Gauripur,04-03-2019,3,2019,4400
Assam,Gauripur,05-03-2019,3,2019,4400
Assam,Gauripur,06-03-2019,3,2019,4300
Assam,Gauripur,07-03-2019,3,2019,4300
Assam,Gauripur,08-03-2019,3,2019,4300
Assam,Gauripur,11-03-2019,3,2019,4400
Assam,Gauripur,12-03-2019,3,2019,4400
Assam,Gauripur,15-03-2019,3,2019,4400
Assam,Gauripur,16-03-2019,3,2019,4400
Assam,Gauripur,19-03-2019,3,2019,4500
Assam,Gauripur,20-03-2019,3,2019,4500
Assam,Gauripur,26-03-2019,3,2019,4450
Assam,Gauripur,27-03-2019,3,2019,4400
Assam,Gauripur,28-03-2019,3,2019,4450
Assam,Gauripur,01-04-2019,4,2019,4400
Assam,Dhing,02-01-2019,1,2019,3900
Assam,Dhing,03-01-2019,1,2019,4000
Assam,Dhing,04-01-2019,1,2019,5050
Assam,Dhing,05-01-2019,1,2019,5050
Assam,Dhing,09-01-2019,1,2019,5050
Assam,Dhing,10-01-2019,1,2019,4000
Assam,Dhing,11-01-2019,1,2019,4000
Assam,Dhing,14-01-2019,1,2019,4000
Assam,Dhing,16-01-2019,1,2019,4000
Assam,Dhing,17-01-2019,1,2019,5050
Assam,Dhing,18-01-2019,1,2019,4000
Assam,Dhing,19-01-2019,1,2019,4000
Assam,Dhing,21-01-2019,1,2019,4000
Assam,Dhing,22-01-2019,1,2019,4500
Assam,Dhing,24-01-2019,1,2019,4000
Assam,Dhing,25-01-2019,1,2019,4000
Assam,Dhing,27-01-2019,1,2019,4000
Assam,Dhing,28-01-2019,1,2019,4050
Assam,Dhing,30-01-2019,1,2019,3800
Assam,Dhing,01-02-2019,2,2019,3800
Assam,Dhing,02-02-2019,2,2019,4100
Assam,Dhing,04-02-2019,2,2019,4200
Assam,Dhing,06-02-2019,2,2019,4000
